30-Oct-2015 07:55:31 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
30-Oct-2015 07:55:32 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 30-Oct-2015 07:55:37.549 CDT

[ParticleListDrawer] analysing particle collection genParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
   82 |    21 -          g | 51 |   30   30  112  113 |  1  2 |   0.449      1.085  2.640 |     -0.393      0.216      0.588    0.000 |
   83 |    21 -          g | 52 |   29   29  114  114 |  1  1 |   2.524      4.812 -1.549 |      0.054     -2.523    155.178    0.000 |
   84 |    21 -          g | 51 |   54   54   87   88 |  1  2 |   1.737     -0.356  1.190 |      0.646      1.612     -0.631   -0.000 |
   85 |    21 -          g | 51 |   54   54  136  137 |  1  2 |   0.831     -1.182 -1.824 |     -0.209     -0.804     -1.227    0.000 |
   86 |    21 -          g | 52 |   52   52  138  138 |  1  1 |   4.370     -3.102  0.648 |      3.485      2.637    -48.492    0.000 |
   87 |    21 -          g | 51 |   84   84  198  198 |  1  1 |   1.967      0.132  0.697 |      1.508      1.262      0.261    0.000 |
   88 |    21 -          g | 51 |   84   84  130  131 |  1  2 |   0.830     -0.056 -2.998 |     -0.821     -0.119     -0.047    0.000 |
   89 |    21 -          g | 52 |   57   57  109  110 |  1  2 |   9.432      1.348 -1.483 |      0.828     -9.395     16.938    0.000 |
   90 |    21 -          g | 41 |  223  223   64   96 |  1  2 |   0.000     43.459 -3.126 |     -0.000     -0.000    830.953    0.000 |
   91 |    21 -          g | 42 |  224  224   65   65 |  1  1 |   0.000    -36.429  3.121 |     -0.000      0.000     -1.103    0.000 |
   92 |    21 -          g | 44 |   66   66  139  140 |  1  2 |   2.111      6.234 -1.468 |      0.216     -2.100    538.225    0.001 |
   93 |    21 -          g | 44 |   67   67  144  144 |  1  1 |   1.619      2.637  2.497 |     -1.295      0.972     11.251    0.000 |
   94 |    21 -          g | 44 |   68   68  141  141 |  1  1 |   0.920      4.212  0.048 |      0.919      0.045     31.025    0.000 |
   95 |    21 -          g | 44 |   69   69  100  101 |  1  2 |   1.464     -0.347  2.276 |     -0.948      1.115     -0.518    0.000 |
   96 |    21 -          g | 43 |   90   90  102  102 |  1  1 |   1.109      6.111 -0.028 |      1.108     -0.032    249.866    0.000 |
   97 |    21 -          g | 51 |   76   76  250  250 |  1  1 |   2.427      4.114 -0.310 |      2.311     -0.740     74.248    0.000 |
   98 |    21 -          g | 51 |   76   76  103  104 |  1  2 |   0.658      4.304 -2.998 |     -0.651     -0.094     24.322    0.000 |
   99 |    21 -          g | 52 |   77   77  105  105 |  1  1 |   1.195     -1.129  0.155 |      1.181      0.185     -1.655   -0.000 |
  100 |    -3 -       sbar | 51 |   95   95  228  228 |  1  1 |   1.080      1.553 -3.037 |     -1.074     -0.112      2.437    0.500 |
  101 |     3 -          s | 51 |   95   95  126  126 |  1  1 |   1.235     -0.321  1.459 |      0.137      1.227     -0.404    0.500 |
  102 |    21 -          g | 52 |   96   96  124  125 |  1  2 |   1.097      6.111 -0.028 |      1.097     -0.031    247.315   -0.000 |
  103 |    21 -          g | 51 |   98   98  252  252 |  1  1 |   0.289      5.118  2.706 |     -0.262      0.122     24.096   -0.000 |
  104 |    21 -          g | 51 |   98   98  253  253 |  1  1 |   0.365      0.287 -2.553 |     -0.304     -0.203      0.106    0.000 |
  105 |    21 -          g | 52 |   99   99  251  251 |  1  1 |   1.109     -1.129  0.155 |      1.096      0.171     -1.535    0.000 |
  106 |    21 -          g | 51 |   50   50  188  189 |  1  2 |   3.587      1.018 -1.832 |     -0.925     -3.466      4.318    0.000 |
  107 |    21 -          g | 51 |   50   50  118  119 |  1  2 |   1.549      1.769 -2.207 |     -0.920     -1.247      4.412    0.000 |
  108 |    21 -          g | 52 |   70   70  117  117 |  1  1 |  38.918      1.219 -1.482 |      3.470    -38.763     60.110    0.000 |
  109 |    21 -          g | 51 |   89   89  132  132 |  1  1 |   9.045      1.346 -1.550 |      0.190     -9.043     16.194   -0.000 |
  110 |    21 -          g | 51 |   89   89  208  208 |  1  1 |   0.709      1.815 -0.843 |      0.472     -0.529      2.120   -0.000 |
  111 |    21 -          g | 52 |   55   55  190  190 |  1  1 |   0.575      2.437 -2.324 |     -0.393     -0.419      3.261   -0.000 |
  112 |    21 -          g | 51 |   82   82  149  149 |  1  1 |   0.925      2.075  1.778 |     -0.190      0.905      3.626    0.000 |
  113 |    21 -          g | 51 |   82   82  150  150 |  1  1 |   0.958      3.238 -1.779 |     -0.198     -0.937     12.181   -0.000 |
  114 |    21 -          g | 52 |   83   83  147  147 |  1  1 |   2.277      4.812 -1.549 |      0.049     -2.276    139.959   -0.000 |
  115 |    -2 -       ubar | 51 |   71   71  121  122 |  1  2 |   5.115      1.281 -1.598 |     -0.139     -5.113      8.500    0.330 |
  116 |     2 -          u | 51 |   71   71  133  134 |  1  2 |   0.376      2.767 -1.273 |      0.110     -0.359      2.979    0.330 |
  117 |    21 -          g | 52 |  108  108  120  120 |  1  1 |  34.338      1.219 -1.482 |      3.061    -34.202     53.037    0.000 |
  118 |    21 -          g | 51 |  107  107  207  207 |  1  1 |   0.385      2.660 -1.419 |      0.058     -0.380      2.737    0.000 |
  119 |    21 -          g | 51 |  107  107  160  160 |  1  1 |   3.674      1.254 -1.772 |     -0.733     -3.600      5.915    0.000 |
  120 |    21 -          g | 52 |  117  117  135  135 |  1  1 |  31.594      1.219 -1.482 |      2.817    -31.468     48.798   -0.000 |
  121 |    -2 -       ubar | 51 |  115  115  203  203 |  1  1 |   1.817      1.014 -1.808 |     -0.426     -1.767      2.175    0.330 |
  122 |    21 -          g | 51 |  115  115  129  129 |  1  1 |   3.368      1.506 -1.489 |      0.275     -3.357      7.218   -0.000 |
  123 |    21 -          g | 52 |   72   72  127  128 |  1  2 |   1.781      4.665 -2.435 |     -1.355     -1.156     94.524    0.000 |
  124 |    21 -          g | 51 |  102  102  182  183 |  1  2 |   0.688      3.177 -0.002 |      0.688     -0.001      8.228    0.000 |
  125 |    21 -          g | 51 |  102  102  152  153 |  1  2 |   0.411      7.059 -0.029 |      0.411     -0.012    239.079    0.000 |
  126 |     3 -          s | 52 |  101  101  154  154 |  1  1 |   1.216     -0.320  1.459 |      0.135      1.209     -0.396    0.500 |
  127 |    21 -          g | 51 |  123  123  172  172 |  1  1 |   2.038      4.463 -2.124 |     -1.071     -1.735     88.403   -0.000 |
  128 |    21 -          g | 51 |  123  123  170  171 |  1  2 |   0.528      3.190  2.117 |     -0.274      0.451      6.396   -0.000 |
  129 |    21 -          g | 52 |  122  122  211  211 |  1  1 |   3.240      1.506 -1.489 |      0.264     -3.229      6.943    0.000 |
  130 |    21 -          g | 51 |   88   88  206  206 |  1  1 |   0.377      2.227 -1.178 |      0.144     -0.348      1.726   -0.000 |
  131 |    21 -          g | 51 |   88   88  166  166 |  1  1 |   1.270      0.127 -2.407 |     -0.942     -0.851      0.162   -0.000 |
  132 |    21 -          g | 52 |  109  109  164  165 |  1  2 |   7.964      1.346 -1.550 |      0.167     -7.962     14.259    0.000 |
  133 |     2 -          u | 51 |  116  116  209  209 |  1  1 |   1.520      1.706 -0.996 |      0.827     -1.276      4.049    0.330 |
  134 |    21 -          g | 51 |  116  116  157  157 |  1  1 |   1.078      1.280 -2.108 |     -0.551     -0.926      1.788   -0.000 |
  135 |    21 -          g | 52 |  120  120  155  156 |  1  2 |  29.744      1.219 -1.482 |      2.652    -29.626     45.941   -0.000 |
  136 |    21 -          g | 51 |   85   85  205  205 |  1  1 |   0.522     -0.652 -1.767 |     -0.102     -0.512     -0.365   -0.000 |
  137 |    21 -          g | 51 |   85   85  215  215 |  1  1 |   0.358     -3.704  0.157 |      0.354      0.056     -7.267   -0.000 |
  138 |    21 -          g | 52 |   86   86  167  168 |  1  2 |   3.793     -3.102  0.648 |      3.025      2.288    -42.087    0.000 |
  139 |    21 -          g | 51 |   92   92  142  143 |  1  2 |   2.363      6.098 -1.351 |      0.515     -2.306    525.909    0.000 |
  140 |    21 -          g | 51 |   92   92  176  177 |  1  2 |   0.243      5.030  2.055 |     -0.113      0.215     18.596    0.000 |
  141 |    21 -          g | 52 |   94   94  227  227 |  1  1 |   0.734      4.212  0.048 |      0.733      0.036     24.745   -0.000 |
  142 |    21 -          g | 51 |  139  139  178  178 |  1  1 |   1.873      5.712 -1.570 |      0.002     -1.873    283.180    0.000 |
  143 |    21 -          g | 51 |  139  139  233  233 |  1  1 |   0.648      6.620 -0.703 |      0.494     -0.419    242.898    0.000 |
  144 |    21 -          g | 52 |   93   93  226  226 |  1  1 |   1.595      2.637  2.497 |     -1.275      0.958     11.082   -0.000 |
  145 |    21 -          g | 42 |  239  239   27   27 |  1  1 |   0.000     39.751  2.795 |     -0.000      0.000    176.051    0.000 |
  146 |    21 -          g | 41 |  240  240   28  151 |  1  2 |   0.000    -32.788 -0.315 |      0.000     -0.000     -0.167    0.000 |
  147 |    21 -          g | 44 |  114  114  241  241 |  1  1 |   2.286      4.768 -1.538 |      0.075     -2.285    134.444   -0.000 |
  148 |    21 -          g | 44 |   81   81  179  180 |  1  2 |   2.305      2.791  1.341 |      0.526      2.244     18.718   -0.000 |
  149 |    21 -          g | 44 |  112  112  181  181 |  1  1 |   0.851      1.943  1.605 |     -0.029      0.850      2.909    0.000 |
  150 |    21 -          g | 44 |  113  113  244  244 |  1  1 |   0.966      3.198 -1.723 |     -0.146     -0.955     11.802   -0.000 |
  151 |    21 -          g | 43 |  146  146  245  245 |  1  1 |   0.449      3.576  2.813 |     -0.425      0.145      8.011   -0.000 |
  152 |    21 -          g | 51 |  125  125  184  184 |  1  1 |   0.829      5.947  0.650 |      0.660      0.502    158.607    0.000 |
  153 |    21 -          g | 51 |  125  125  173  174 |  1  2 |   0.568      5.646 -2.024 |     -0.249     -0.511     80.471    0.000 |
  154 |     3 -          s | 52 |  126  126  175  175 |  1  1 |   1.214     -0.320  1.459 |      0.135      1.206     -0.395    0.500 |
  155 |    21 -          g | 51 |  135  135  158  159 |  1  2 |  21.419      1.201 -1.463 |      2.314    -21.294     32.377    0.000 |
  156 |    21 -          g | 51 |  135  135  216  216 |  1  1 |   8.477      1.266 -1.541 |      0.253     -8.473     13.837    0.000 |
  157 |    21 -          g | 52 |  134  134  214  214 |  1  1 |   0.913      1.280 -2.108 |     -0.467     -0.784      1.514    0.000 |
  158 |    21 -          g | 51 |  155  155  197  197 |  1  1 |  11.938      1.208 -1.421 |      1.778    -11.805     18.188   -0.000 |
  159 |    21 -          g | 51 |  155  155  217  217 |  1  1 |  10.205      1.197 -1.532 |      0.392    -10.197     15.353   -0.000 |
  160 |    21 -          g | 52 |  119  119  210  210 |  1  1 |   2.951      1.254 -1.772 |     -0.589     -2.891      4.751    0.000 |
  161 |     1 -          d | 51 |   78   78  195  195 |  1  1 |   0.717      2.236  2.130 |     -0.381      0.608      3.319    0.330 |
  162 |    21 -          g | 51 |   78   78  218  218 |  1  1 |   2.133      2.979  2.086 |     -1.052      1.856     20.916    0.000 |
  163 |    21 -          g | 52 |   79   79  204  204 |  1  1 |   2.586      3.262  2.328 |     -1.776      1.880     33.718   -0.000 |
  164 |    21 -          g | 51 |  132  132  201  201 |  1  1 |   6.140      1.303 -1.469 |      0.623     -6.109     10.464   -0.000 |
  165 |    21 -          g | 51 |  132  132  219  219 |  1  1 |   1.988      1.405 -1.838 |     -0.526     -1.917      3.807   -0.000 |
  166 |    21 -          g | 52 |  131  131  213  213 |  1  1 |   1.176      0.127 -2.407 |     -0.873     -0.788      0.150    0.000 |
  167 |    21 -          g | 51 |  138  138  196  196 |  1  1 |   2.380     -3.335  0.544 |      2.037      1.231    -33.371    0.000 |
  168 |    21 -          g | 51 |  138  138  220  220 |  1  1 |   1.396     -2.778  0.854 |      0.917      1.053    -11.193   -0.000 |
  169 |    21 -          g | 52 |   56   56  200  200 |  1  1 |   1.446     -4.251 -3.086 |     -1.443     -0.081    -50.730   -0.000 |
  170 |    21 -          g | 51 |  128  128  212  212 |  1  1 |   0.264      2.567 -1.383 |      0.049     -0.259      1.709    0.000 |
  171 |    21 -          g | 51 |  128  128  221  221 |  1  1 |   0.657      4.450  2.749 |     -0.607      0.251     28.105    0.000 |
  172 |    21 -          g | 52 |  127  127  202  202 |  1  1 |   1.498      4.463 -2.124 |     -0.787     -1.275     64.985    0.000 |
  173 |    21 -          g | 51 |  153  153  234  234 |  1  1 |   0.865      5.213 -2.011 |     -0.369     -0.782     79.392    0.000 |
  174 |    21 -          g | 51 |  153  153  235  235 |  1  1 |   0.331      1.882  1.188 |      0.124      0.307      1.063    0.000 |
  175 |     3 -          s | 52 |  154  154  230  230 |  1  1 |   1.177     -0.316  1.459 |      0.131      1.170     -0.378    0.500 |
  176 |    21 -          g | 51 |  140  140  232  232 |  1  1 |   0.639      5.882 -0.765 |      0.461     -0.443    114.515    0.000 |
  177 |    21 -          g | 51 |  140  140  236  236 |  1  1 |   0.764      5.343 -2.420 |     -0.573     -0.505     79.840    0.000 |
  178 |    21 -          g | 52 |  142  142  225  225 |  1  1 |   0.710      5.712 -1.570 |      0.001     -0.710    107.421   -0.000 |
  179 |    21 -          g | 51 |  148  148  242  242 |  1  1 |   2.862      2.674  1.428 |      0.408      2.833     20.654   -0.000 |
  180 |    21 -          g | 51 |  148  148  246  246 |  1  1 |   0.098      1.155  0.181 |      0.096      0.018      0.140   -0.000 |
  181 |    21 -          g | 52 |  149  149  243  243 |  1  1 |   0.244      1.943  1.605 |     -0.008      0.244      0.834    0.000 |
  182 |    21 -          g | 51 |  124  124  229  229 |  1  1 |   0.915      4.120  0.205 |      0.896      0.186     28.163   -0.000 |
  183 |    21 -          g | 51 |  124  124  187  187 |  1  1 |   0.171      2.493 -2.357 |     -0.121     -0.121      1.027    0.000 |
  184 |    21 -          g | 52 |  152  152  185  186 |  1  2 |   0.720      5.947  0.650 |      0.573      0.435    137.644   -0.000 |
  185 |    21 -          g | 51 |  184  184  231  231 |  1  1 |   0.291      6.372  2.180 |     -0.167      0.239     85.219    0.000 |
  186 |    21 -          g | 51 |  184  184  238  238 |  1  1 |   0.728      4.976  0.229 |      0.709      0.165     52.690    0.000 |
  187 |    21 -          g | 52 |  183  183  237  237 |  1  1 |   0.127      2.493 -2.357 |     -0.090     -0.090      0.762   -0.000 |
  188 |    21 -          g | 51 |  106  106  194  194 |  1  1 |   2.408      0.880 -1.765 |     -0.464     -2.363      2.403   -0.000 |
  189 |    21 -          g | 51 |  106  106  222  222 |  1  1 |   1.323      1.456 -2.003 |     -0.554     -1.202      2.685    0.000 |
  190 |    21 -          g | 52 |  111  111  199  199 |  1  1 |   0.439      2.437 -2.324 |     -0.300     -0.320      2.492   -0.000 |
  191 |    21 -          g | 61 |    0    0   80   80 |  1  1 |   0.876      7.324  0.993 |      0.478      0.734    664.606   -0.000 |
  192 |     2 -          u | 61 |    1    1   48   48 |  1  1 |   1.790     -8.461 -0.808 |      1.237     -1.294  -4229.150    0.000 |
  193 | 9900024 -       W_R+ | 62 |   49   49  257  258 |  1  2 |  47.549     -5.050  1.525 |      2.167     47.500  -3710.057 2587.274 |
  194 |    21 -          g | 62 |  188  188  444  444 |  1  1 |   2.405      0.881 -1.764 |     -0.462     -2.360      2.404   -0.000 |
  195 |     1 -          d | 62 |  161  161  497  497 |  1  1 |   0.719      2.234  2.124 |     -0.378      0.612      3.318    0.330 |
  196 |    21 -          g | 62 |  167  167  404  404 |  1  1 |   2.384     -3.334  0.538 |      2.047      1.221    -33.373    0.000 |
  197 |    21 -          g | 62 |  158  158  440  440 |  1  1 |  11.919      1.209 -1.420 |      1.793    -11.783     18.196    0.000 |
  198 |    21 -          g | 62 |   87   87  625  625 |  1  1 |   1.968      0.132  0.697 |      1.509      1.263      0.260    0.000 |
  199 |    21 -          g | 62 |  190  190  405  405 |  1  1 |   0.436      2.444 -2.325 |     -0.299     -0.318      2.492    0.000 |
  200 |    21 -          g | 62 |  169  169  630  630 |  1  1 |   1.432     -4.261 -3.074 |     -1.429     -0.096    -50.729    0.000 |
  201 |    21 -          g | 62 |  164  164  448  448 |  1  1 |   6.129      1.305 -1.468 |      0.632     -6.096     10.468    0.000 |
  202 |    21 -          g | 62 |  172  172  477  477 |  1  1 |   1.413      4.522 -2.122 |     -0.740     -1.203     64.986    0.000 |
  203 |    -2 -       ubar | 62 |  121  121  481  481 |  1  1 |   1.814      1.016 -1.807 |     -0.424     -1.764      2.176    0.330 |
  204 |    21 -          g | 62 |  163  163  408  408 |  1  1 |   2.597      3.258  2.311 |     -1.751      1.918     33.717    0.000 |
  205 |    21 -          g | 62 |  136  136  627  627 |  1  1 |   0.522     -0.652 -1.767 |     -0.102     -0.512     -0.365   -0.000 |
  206 |    21 -          g | 62 |  130  130  622  622 |  1  1 |   0.376      2.230 -1.173 |      0.145     -0.346      1.727    0.000 |
  207 |    21 -          g | 62 |  118  118  443  443 |  1  1 |   0.382      2.667 -1.413 |      0.060     -0.377      2.737    0.000 |
  208 |    21 -          g | 62 |  110  110  447  447 |  1  1 |   0.708      1.816 -0.839 |      0.473     -0.527      2.120   -0.000 |
  209 |     2 -          u | 62 |  133  133  437  437 |  1  1 |   1.518      1.708 -0.993 |      0.830     -1.271      4.049    0.330 |
  210 |    21 -          g | 62 |  160  160  442  442 |  1  1 |   2.945      1.256 -1.771 |     -0.585     -2.886      4.753    0.000 |
  211 |    21 -          g | 62 |  129  129  480  480 |  1  1 |   3.233      1.508 -1.487 |      0.270     -3.221      6.946    0.000 |
  212 |    21 -          g | 62 |  170  170  398  398 |  1  1 |   0.263      2.573 -1.377 |      0.051     -0.258      1.710    0.000 |
  213 |    21 -          g | 62 |  166  166  406  406 |  1  1 |   1.175      0.128 -2.407 |     -0.872     -0.787      0.151    0.000 |
  214 |    21 -          g | 62 |  157  157  438  438 |  1  1 |   0.911      1.282 -2.108 |     -0.466     -0.783      1.515    0.000 |
  215 |    21 -          g | 62 |  137  137  404  404 |  1  1 |   0.360     -3.699  0.150 |      0.356      0.054     -7.267    0.000 |
  216 |    21 -          g | 62 |  156  156  439  439 |  1  1 |   8.461      1.268 -1.540 |      0.264     -8.457     13.843    0.000 |
  217 |    21 -          g | 62 |  159  159  441  441 |  1  1 |  10.187      1.199 -1.531 |      0.405    -10.179     15.360    0.000 |
  218 |    21 -          g | 62 |  162  162  500  500 |  1  1 |   2.146      2.973  2.075 |     -1.037      1.879     20.915    0.000 |
  219 |    21 -          g | 62 |  165  165  449  449 |  1  1 |   1.983      1.408 -1.838 |     -0.523     -1.912      3.809    0.000 |
  220 |    21 -          g | 62 |  168  168  629  629 |  1  1 |   1.396     -2.779  0.851 |      0.920      1.050    -11.194   -0.000 |
  221 |    21 -          g | 62 |  171  171  397  397 |  1  1 |   0.651      4.459  2.693 |     -0.587      0.282     28.105    0.000 |
  222 |    21 -          g | 62 |  189  189  445  445 |  1  1 |   1.320      1.459 -2.002 |     -0.552     -1.199      2.686    0.000 |
  223 |    21 -          g | 61 |    0    0   90   90 |  1  1 |   1.786      6.834 -1.510 |      0.108     -1.783    829.961    0.000 |
  224 |    21 -          g | 61 |    1    1   91   91 |  1  1 |   3.078      0.332  2.975 |     -3.036      0.509      1.042    0.000 |
  225 |    21 -          g | 62 |  178  178  474  474 |  1  1 |   0.940      5.429 -1.559 |      0.011     -0.940    107.128    0.000 |
  226 |    21 -          g | 62 |  144  144  499  499 |  1  1 |   1.720      2.732  2.552 |     -1.430      0.956     13.155    0.000 |
  227 |    21 -          g | 62 |  141  141  407  407 |  1  1 |   0.721      4.187 -0.018 |      0.721     -0.013     23.728    0.000 |
  228 |    -3 -       sbar | 62 |  100  100  451  451 |  1  1 |   1.453      1.772 -3.102 |     -1.452     -0.057      4.151    0.500 |
  229 |    21 -          g | 62 |  182  182  407  407 |  1  1 |   0.889      4.105  0.148 |      0.879      0.131     26.956    0.000 |
  230 |     3 -          s | 62 |  175  175  621  621 |  1  1 |   2.719      0.488  2.529 |     -2.224      1.563      1.379    0.500 |
  231 |    21 -          g | 62 |  185  185  400  400 |  1  1 |   0.166      6.937  2.801 |     -0.156      0.055     85.403    0.000 |
  232 |    21 -          g | 62 |  176  176  401  401 |  1  1 |   0.834      5.608 -0.967 |      0.473     -0.686    113.643    0.000 |
  233 |    21 -          g | 62 |  143  143  401  401 |  1  1 |   1.075      6.109 -1.061 |      0.524     -0.938    241.832    0.000 |
  234 |    21 -          g | 62 |  173  173  399  399 |  1  1 |   1.020      5.051 -1.937 |     -0.365     -0.952     79.626    0.000 |
  235 |    21 -          g | 62 |  174  174  402  402 |  1  1 |   0.322      1.865  1.401 |      0.054      0.317      1.013    0.000 |
  236 |    21 -          g | 62 |  177  177  399  399 |  1  1 |   0.883      5.205 -2.269 |     -0.568     -0.676     80.418    0.000 |
  237 |    21 -          g | 62 |  187  187  405  405 |  1  1 |   0.137      2.553 -2.434 |     -0.104     -0.089      0.874    0.000 |
  238 |    21 -          g | 62 |  186  186  409  409 |  1  1 |   0.711      4.980  0.078 |      0.708      0.055     51.696    0.000 |
  239 |    21 -          g | 61 |    0    0  145  145 |  1  1 |   0.456      6.649  0.357 |      0.428      0.159    176.156   -0.000 |
  240 |    21 -          g | 61 |    1    1  146  146 |  1  1 |   0.985      1.073  0.389 |      0.912      0.374      1.272   -0.000 |
  241 |    21 -          g | 62 |  147  147  475  475 |  1  1 |   2.190      4.794 -1.365 |      0.448     -2.143    132.267   -0.000 |
  242 |    21 -          g | 62 |  179  179  623  623 |  1  1 |   3.237      2.772  1.254 |      1.007      3.076     25.777   -0.000 |
  243 |    21 -          g | 62 |  181  181  402  402 |  1  1 |   0.297      2.129  1.265 |      0.089      0.284      1.233   -0.000 |
  244 |    21 -          g | 62 |  150  150  398  398 |  1  1 |   0.901      3.152 -1.586 |     -0.014     -0.901     10.519   -0.000 |
  245 |    21 -          g | 62 |  151  151  408  408 |  1  1 |   0.409      3.546  2.725 |     -0.374      0.165      7.079   -0.000 |
  246 |    21 -          g | 62 |  180  180  403  403 |  1  1 |   0.189      1.797  0.282 |      0.182      0.053      0.554   -0.000 |
  247 |    21 -          g | 61 |    0    0   73   73 |  1  1 |   2.144      4.734  2.119 |     -1.118      1.830    121.944   -0.000 |
  248 |    21 -          g | 61 |    1    1   74   74 |  1  1 |   1.023     -1.344  0.667 |      0.804      0.633     -1.828    0.000 |
  249 |    21 -          g | 62 |   75   75  498  498 |  1  1 |   3.177      2.650  2.815 |     -3.009      1.018     22.372   -0.000 |
  250 |    21 -          g | 62 |   97   97  409  409 |  1  1 |   1.678      4.490  0.233 |      1.633      0.387     74.772   -0.000 |
  251 |    21 -          g | 62 |  105  105  626  626 |  1  1 |   1.936     -0.568  0.387 |      1.793      0.730     -1.159    0.000 |
  252 |    21 -          g | 62 |  103  103  397  397 |  1  1 |   0.683      4.257  2.354 |     -0.482      0.484     24.109   -0.000 |
  253 |    21 -          g | 62 |  104  104  406  406 |  1  1 |   0.294      0.072 -2.582 |     -0.249     -0.156      0.021   -0.000 |
  254 |  2101 -       ud_0 | 63 |    0    0  504  504 |  1  1 |   0.329     10.207 -2.003 |     -0.138     -0.298   4452.340    0.579 |
  255 |     2 -          u | 63 |    0    0  400  400 |  1  1 |   0.686      6.597 -1.210 |      0.242     -0.642    251.263    0.330 |
  256 |  2103 -       ud_1 | 63 |    1    1  631  631 |  1  1 |   0.238     -9.857 -1.212 |      0.083     -0.222  -2267.604    0.771 |
  257 |   -11 -         e+ | 23 |  193  193  259  260 |  1  2 | 679.869     -0.286 -1.387 |    124.560   -668.361   -197.159    0.001 |
  258 | 9900012 -      nu_Re | 22 |  193  193  261  261 |  1  1 | 726.248     -2.280  1.740 |   -122.393    715.860  -3512.898 1299.998 |
  259 |   -11 -         e+ |  1 |  257  257   -1   -1 |  1  0 | 677.769     -0.286 -1.387 |    124.175   -666.297   -196.555    0.001 |
  260 |    22 -      gamma |  1 |  257  257   -1   -1 |  1  0 |   2.099     -0.284 -1.387 |      0.385     -2.064     -0.604   -0.000 |
  261 | 9900012 -      nu_Re | 52 |  258  258  262  264 |  1  3 | 726.248     -2.280  1.740 |   -122.393    715.860  -3512.898 1299.998 |
  262 |    11 -         e- | 23 |  261  261  346  347 |  1  2 | 206.970     -0.561 -0.712 |    156.745   -135.157   -122.345    0.001 |
  263 |    -5 -       bbar | 23 |  261  261  265  266 |  1  2 | 550.716     -2.296  1.586 |     -8.265    550.654  -2706.971    4.800 |
  264 |     6 -          t | 22 |  261  261  267  267 |  1  1 | 404.464     -1.296  2.305 |   -270.874    300.364   -683.582  171.714 |
  265 |    -5 -       bbar | 51 |  263  263  273  273 |  1  1 | 133.641     -1.720  1.375 |     26.039    131.080   -361.271    4.800 |
  266 |    21 -          g | 51 |  263  263  268  269 |  1  2 | 439.504     -2.386  1.694 |    -54.108    436.161  -2369.019    0.000 |
  267 |     6 -          t | 52 |  264  264  270  270 |  1  1 | 378.900     -1.322  2.295 |   -251.069    283.777   -660.263  171.714 |
  268 |    21 -          g | 51 |  266  266  271  272 |  1  2 | 337.108     -2.394  1.576 |     -1.901    337.103  -1832.160    0.000 |
  269 |    21 -          g | 51 |  266  266  274  275 |  1  2 | 122.161     -2.202  2.088 |    -60.397    106.185   -545.749    0.000 |
  270 |     6 -          t | 52 |  267  267  276  276 |  1  1 | 368.137     -1.335  2.291 |   -242.878    276.650   -651.372  171.714 |
  271 |    21 -          g | 51 |  268  268  277  278 |  1  2 | 330.907     -2.378  1.501 |     23.053    330.103  -1769.237   -0.000 |
  272 |    21 -          g | 51 |  268  268  279  279 |  1  1 |  44.918     -1.960  1.987 |    -18.140     41.092   -156.332    0.000 |
  273 |    -5 -       bbar | 52 |  265  265  297  297 |  1  1 |  98.875     -1.722  1.375 |     19.224     96.988   -267.863    4.800 |
  274 |    21 -          g | 51 |  269  269  283  284 |  1  2 |  76.032     -2.396  2.166 |    -42.645     62.947   -413.796    0.000 |
  275 |    21 -          g | 51 |  269  269  288  288 |  1  1 |  60.487     -1.560  2.063 |    -28.593     53.302   -137.571    0.000 |
  276 |     6 -          t | 52 |  270  270  312  312 |  1  1 | 353.426     -1.364  2.287 |   -232.038    266.587   -645.754  171.714 |
  277 |    21 -          g | 51 |  271  271  285  285 |  1  1 | 157.299     -2.334  1.502 |     10.812    156.927   -803.789    0.000 |
  278 |    21 -          g | 51 |  271  271  280  281 |  1  2 | 174.796     -2.415  1.504 |     11.699    174.404   -970.122    0.000 |
  279 |    21 -          g | 52 |  272  272  282  282 |  1  1 |  43.575     -1.960  1.987 |    -17.598     39.863   -151.658    0.000 |
  280 |    21 -          g | 51 |  278  278  289  290 |  1  2 | 109.766     -2.438  1.560 |      1.235    109.760   -623.413   -0.000 |
  281 |    21 -          g | 51 |  278  278  300  300 |  1  1 |  67.345     -2.363  1.428 |      9.573     66.661   -354.382   -0.000 |
  282 |    21 -          g | 52 |  279  279  295  296 |  1  2 |  41.370     -1.960  1.987 |    -16.708     37.846   -143.984   -0.000 |
  283 |    21 -          g | 51 |  274  274  286  287 |  1  2 |  81.200     -2.406  2.115 |    -42.037     69.472   -446.668   -0.000 |
